日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2022-01-01,优,34,29,17,34,5,52,0.68,35
2022-01-02,良,95,234,71,78,8,64,1.15,40
2022-01-03,良,90,184,66,69,6,75,1.08,35
2022-01-04,良,68,127,49,47,5,60,0.92,57
2022-01-05,优,26,13,14,17,4,29,0.64,66
2022-01-06,优,28,29,12,25,4,24,0.66,62
2022-01-07,优,41,82,27,35,4,38,0.72,50
2022-01-08,优,45,80,32,37,5,46,0.77,41
2022-01-09,良,80,167,58,51,5,47,0.90,51
2022-01-10,轻度污染,148,282,112,87,6,62,1.28,35
2022-01-11,良,82,232,60,43,5,34,0.91,51
2022-01-12,良,58,117,41,49,5,58,0.85,37
2022-01-13,良,79,208,58,58,5,56,1.03,31
2022-01-14,优,33,35,20,30,4,40,0.72,42
2022-01-15,良,92,191,68,56,5,65,1.02,24
2022-01-16,轻度污染,112,249,84,73,5,58,1.18,45
2022-01-17,优,36,78,16,36,4,47,0.68,40
2022-01-18,良,52,114,36,45,5,41,0.72,63
2022-01-19,良,51,108,35,41,5,54,0.73,46
2022-01-20,优,47,100,32,36,4,24,0.69,70
2022-01-21,优,23,18,12,22,4,26,0.59,61
2022-01-22,优,28,59,18,17,4,51,0.70,30
2022-01-23,优,23,49,13,10,4,34,0.65,45
2022-01-24,良,70,188,51,55,4,23,0.99,68
2022-01-25,轻度污染,108,224,81,81,5,39,1.08,48
2022-01-26,良,62,178,44,42,4,33,0.77,62
2022-01-27,优,49,167,34,37,4,22,0.81,75
2022-01-28,优,27,100,15,25,4,18,0.56,65
2022-01-29,优,33,122,22,27,4,19,0.65,64
2022-01-30,优,34,97,23,28,4,21,0.63,65
2022-01-31,良,81,235,60,68,6,38,0.90,63
2022-02-01,轻度污染,112,265,82,108,6,21,0.79,76
2022-02-02,优,37,119,24,32,4,14,0.59,77
2022-02-03,优,24,66,13,16,5,16,0.50,74
2022-02-04,优,37,131,25,30,5,24,0.66,71
2022-02-05,良,64,279,45,58,5,24,0.70,64
2022-02-06,优,26,35,14,24,5,15,0.50,77
2022-02-07,优,24,61,6,8,4,17,0.48,75
2022-02-08,优,21,52,7,11,4,19,0.52,66
2022-02-09,优,22,48,14,19,4,29,0.53,60
2022-02-10,优,35,96,24,28,5,26,0.60,70
2022-02-11,良,52,149,36,44,4,28,0.63,85
2022-02-12,良,55,160,38,54,5,33,0.68,82
2022-02-13,良,59,178,42,56,5,32,0.68,74
2022-02-14,良,54,170,37,54,5,36,0.65,67
2022-02-15,良,70,226,50,67,4,25,0.69,68
2022-02-16,优,40,88,27,40,4,26,0.57,65
2022-02-17,优,27,64,16,26,4,16,0.50,78
2022-02-18,优,23,59,12,21,4,24,0.50,66
2022-02-19,优,37,162,23,33,4,20,0.62,72
2022-02-20,优,35,113,17,35,5,21,0.59,65
2022-02-21,优,42,164,27,43,6,41,0.66,54
2022-02-22,良,71,287,51,73,7,52,0.69,56
2022-02-23,优,43,149,28,42,5,25,0.52,77
2022-02-24,优,30,55,16,29,5,41,0.52,56
2022-02-25,优,31,27,17,29,5,41,0.51,60
2022-02-26,良,56,138,39,59,6,48,0.68,71
2022-02-27,良,69,182,40,81,5,32,0.65,83
2022-02-28,良,68,137,45,76,6,37,0.68,109
2022-03-01,轻度污染,115,305,87,112,5,42,0.94,82
2022-03-02,良,82,241,60,96,6,41,0.75,77
2022-03-03,良,78,187,51,101,9,46,0.72,88
2022-03-04,良,51,67,34,50,5,43,0.64,70
2022-03-05,良,93,273,42,121,4,35,0.58,61
2022-03-06,优,41,70,8,42,4,22,0.42,75
2022-03-07,优,42,111,20,46,5,37,0.56,64
2022-03-08,良,64,171,39,75,6,55,0.65,57
2022-03-09,良,67,163,39,78,7,37,0.58,97
2022-03-10,良,65,158,31,80,6,31,0.60,108
2022-03-11,良,61,150,32,72,7,56,0.65,63
2022-03-12,优,49,88,26,50,7,40,0.55,57
2022-03-13,优,50,105,29,53,6,33,0.60,68
2022-03-14,良,66,164,45,72,6,41,0.75,66
2022-03-15,良,57,127,30,63,6,30,0.76,95
2022-03-16,良,54,137,32,59,8,41,0.74,87
2022-03-17,优,19,3,11,13,4,23,0.60,47
2022-03-18,优,38,126,24,32,4,29,0.77,51
2022-03-19,良,71,273,51,67,4,32,0.85,43
2022-03-20,优,25,21,14,20,4,21,0.60,70
2022-03-21,优,27,97,7,8,4,16,0.59,84
2022-03-22,优,32,140,12,26,4,17,0.60,92
2022-03-23,优,34,123,20,34,5,24,0.65,86
2022-03-24,优,30,83,12,28,5,26,0.53,83
2022-03-25,优,26,67,11,17,4,20,0.65,74
2022-03-26,优,40,128,26,36,4,22,0.80,75
2022-03-27,良,61,235,33,76,8,38,0.78,68
